year,land_average_temperature_c,land_average_uncertainty_c,land_ocean_average_temperature_c,land_ocean_average_uncertainty_c,land_months,land_ocean_months,land_ocean_anomaly_c
1891,8.019333333333334,0.3353333333333333,14.943833333333332,0.15358333333333332,12,12,-0.3557138888888911
1892,8.065833333333332,0.3388333333333333,14.8825,0.156,12,12,-0.417047222222223
1893,8.05675,0.34525,14.91225,0.15425,12,12,-0.38729722222222307
1894,8.161,0.31725,14.91475,0.15033333333333332,12,12,-0.38479722222222357
1895,8.147,0.29925,14.969,0.14683333333333334,12,12,-0.3305472222222239
1896,8.214916666666667,0.30883333333333335,15.090583333333333,0.148,12,12,-0.20896388888889028
1897,8.293333333333333,0.31383333333333335,15.075333333333333,0.14933333333333335,12,12,-0.22421388888889027
1898,8.177999999999999,0.3256666666666667,14.886916666666666,0.1485,12,12,-0.41263055555555717
1899,8.396333333333333,0.32475,15.048333333333334,0.1475,12,12,-0.2512138888888895
1900,8.501583333333334,0.31475000000000003,15.143916666666668,0.15025,12,12,-0.15563055555555572
1901,8.541916666666667,0.30624999999999997,15.073333333333332,0.14575,12,12,-0.22621388888889093
1902,8.304416666666667,0.29275,14.958333333333334,0.13549999999999998,12,12,-0.34121388888888937
1903,8.220166666666666,0.29,14.836583333333332,0.13483333333333333,12,12,-0.4629638888888916
1904,8.090916666666667,0.28641666666666665,14.810416666666669,0.1330833333333333,12,12,-0.48913055555555474
1905,8.225166666666667,0.27875,14.954666666666666,0.129,12,12,-0.34488055555555697
1906,8.379083333333332,0.27491666666666664,15.031916666666667,0.1285833333333333,12,12,-0.2676305555555558
1907,7.947166666666667,0.2571666666666667,14.874833333333333,0.12583333333333332,12,12,-0.42471388888889017
1908,8.186083333333334,0.27475,14.838166666666666,0.12508333333333332,12,12,-0.46138055555555724
1909,8.17825,0.26275,14.790333333333335,0.1195,12,12,-0.5092138888888886
1910,8.223,0.26008333333333333,14.819083333333333,0.11758333333333333,12,12,-0.4804638888888899
1911,8.177,0.24783333333333335,14.776000000000002,0.11516666666666665,12,12,-0.5235472222222217
1912,8.165416666666667,0.2584166666666667,14.877166666666668,0.11691666666666667,12,12,-0.42238055555555576
1913,8.29775,0.26225000000000004,14.90875,0.11708333333333333,12,12,-0.3907972222222238
1914,8.5905,0.2519166666666667,15.07625,0.12525,12,12,-0.22329722222222337
1915,8.593166666666667,0.24616666666666664,15.143749999999999,0.13425,12,12,-0.15579722222222436
1916,8.22525,0.2604166666666667,14.901333333333334,0.13483333333333333,12,12,-0.39821388888888976
1917,8.023333333333333,0.26066666666666666,14.809750000000001,0.14049999999999999,12,12,-0.4897972222222222
1918,8.130833333333333,0.26825,14.959833333333334,0.14816666666666667,12,12,-0.3397138888888893
1919,8.38225,0.26675,15.006750000000002,0.14283333333333334,12,12,-0.29279722222222127
1920,8.358749999999999,0.26266666666666666,15.02625,0.1355833333333333,12,12,-0.2732972222222241
1921,8.571,0.2568333333333333,15.102083333333335,0.12916666666666665,12,12,-0.19746388888888866
1922,8.408,0.25858333333333333,15.012333333333332,0.12408333333333332,12,12,-0.2872138888888909
1923,8.422166666666667,0.2530833333333333,15.027833333333334,0.12266666666666666,12,12,-0.2717138888888897
1924,8.506833333333335,0.2568333333333333,15.039333333333333,0.1245,12,12,-0.26021388888888985
1925,8.534416666666667,0.24075,15.090333333333334,0.12391666666666667,12,12,-0.2092138888888897
1926,8.728833333333332,0.24266666666666667,15.241083333333334,0.12241666666666667,12,12,-0.058463888888889315
1927,8.522083333333333,0.24891666666666667,15.122250000000001,0.12166666666666666,12,12,-0.17729722222222222
1928,8.632166666666667,0.24858333333333335,15.132249999999999,0.12333333333333334,12,12,-0.1672972222222242
1929,8.242416666666667,0.25175,14.967416666666667,0.12466666666666666,12,12,-0.3321305555555565
1930,8.633583333333332,0.23966666666666667,15.1725,0.12891666666666665,12,12,-0.12704722222222387
1931,8.71925,0.23775000000000002,15.228250000000001,0.12908333333333333,12,12,-0.07129722222222235
1932,8.70525,0.24891666666666667,15.188,0.12941666666666665,12,12,-0.11154722222222269
1933,8.33825,0.24266666666666667,15.012916666666667,0.12708333333333333,12,12,-0.28663055555555594
1934,8.628333333333334,0.24008333333333334,15.1445,0.12441666666666666,12,12,-0.15504722222222256
1935,8.51575,0.23591666666666666,15.118833333333333,0.12233333333333334,12,12,-0.1807138888888904
1936,8.554,0.24308333333333332,15.166166666666667,0.12033333333333333,12,12,-0.13338055555555606
1937,8.698333333333332,0.24008333333333332,15.3005,0.12,12,12,0.0009527777777762481
1938,8.863666666666667,0.24050000000000002,15.293083333333334,0.11858333333333333,12,12,-0.006463888888889713
1939,8.760333333333334,0.2373333333333333,15.302333333333332,0.12058333333333333,12,12,0.0027861111111082693
1940,8.764666666666667,0.23108333333333334,15.372083333333334,0.12283333333333334,12,12,0.07253611111111091
1941,8.768666666666666,0.22783333333333333,15.384666666666668,0.11591666666666667,12,12,0.08511944444444453
1942,8.728416666666666,0.2295,15.325333333333333,0.13308333333333333,12,12,0.025786111111109733
1943,8.755083333333333,0.22658333333333333,15.344999999999999,0.13366666666666666,12,12,0.045452777777775566
1944,8.845,0.22516666666666665,15.449083333333334,0.12775,12,12,0.14953611111111087
1945,8.584833333333334,0.22033333333333335,15.33075,0.13033333333333333,12,12,0.031202777777776802
1946,8.676916666666667,0.22241666666666668,15.262750000000002,0.13241666666666665,12,12,-0.03679722222222104
1947,8.797083333333333,0.21708333333333332,15.310166666666667,0.12875,12,12,0.01061944444444407
1948,8.74675,0.20958333333333332,15.261166666666666,0.1285,12,12,-0.038380555555557194
1949,8.58675,0.20824999999999996,15.22275,0.10741666666666666,12,12,-0.07679722222222374
1950,8.365250000000001,0.18633333333333332,15.1395,0.10233333333333333,12,12,-0.16004722222222334
1951,8.625666666666667,0.18416666666666667,15.311166666666667,0.09891666666666667,12,12,0.011619444444443516
1952,8.638250000000001,0.20875,15.363083333333334,0.10166666666666667,12,12,0.06353611111111057
1953,8.87375,0.21208333333333332,15.421083333333334,0.10225,12,12,0.1215361111111104
1954,8.560666666666666,0.18716666666666668,15.230583333333334,0.09533333333333333,12,12,-0.06896388888888971
1955,8.62625,0.15358333333333332,15.174333333333335,0.08808333333333333,12,12,-0.1252138888888883
1956,8.279583333333333,0.12083333333333333,15.106000000000002,0.07966666666666665,12,12,-0.19354722222222165
1957,8.7325,0.158,15.374083333333333,0.08441666666666665,12,12,0.0745361111111098
1958,8.77375,0.10433333333333332,15.382083333333334,0.0745,12,12,0.0825361111111107
1959,8.732666666666667,0.10716666666666667,15.340499999999999,0.07391666666666664,12,12,0.040952777777775395
1960,8.58375,0.09349999999999999,15.291916666666667,0.06933333333333334,12,12,-0.007630555555556029
1961,8.797666666666666,0.09699999999999999,15.379916666666666,0.06716666666666667,12,12,0.08036944444444316
1962,8.745916666666666,0.13291666666666666,15.325583333333334,0.0725,12,12,0.026036111111110927
1963,8.856,0.09233333333333332,15.376666666666667,0.06833333333333334,12,12,0.07711944444444363
1964,8.409666666666666,0.09250000000000001,15.117083333333333,0.06516666666666666,12,12,-0.18246388888888987
1965,8.527416666666666,0.10883333333333334,15.195750000000002,0.06724999999999999,12,12,-0.10379722222222121
1966,8.599333333333332,0.09225,15.264666666666665,0.06366666666666666,12,12,-0.034880555555558246
1967,8.700083333333334,0.08366666666666667,15.294166666666667,0.05925,12,12,-0.005380555555555944
1968,8.516333333333334,0.11166666666666668,15.263916666666667,0.06016666666666667,12,12,-0.0356305555555565
1969,8.595083333333333,0.08516666666666667,15.390500000000001,0.05516666666666667,12,12,0.09095277777777788
1970,8.700916666666666,0.07558333333333332,15.332666666666666,0.05325,12,12,0.03311944444444315
1971,8.59925,0.09791666666666667,15.200000000000001,0.05616666666666667,12,12,-0.09954722222222223
1972,8.499583333333334,0.09533333333333333,15.292916666666668,0.05583333333333334,12,12,-0.006630555555554807
1973,8.94825,0.10074999999999999,15.40475,0.05491666666666667,12,12,0.10520277777777665
1974,8.4675,0.1045,15.168083333333334,0.056249999999999994,12,12,-0.1314638888888897
1975,8.744833333333334,0.09708333333333334,15.238666666666667,0.05533333333333334,12,12,-0.06088055555555627
1976,8.34725,0.10058333333333332,15.131083333333335,0.05741666666666667,12,12,-0.16846388888888875
1977,8.85025,0.08466666666666667,15.40825,0.053,12,12,0.10870277777777737
1978,8.69275,0.10383333333333332,15.300916666666666,0.0555,12,12,0.0013694444444425358
1979,8.733416666666667,0.08641666666666666,15.414166666666667,0.047499999999999994,12,12,0.11461944444444327
1980,8.980333333333332,0.10666666666666667,15.491833333333332,0.05366666666666667,12,12,0.19228611111110894
1981,9.165833333333333,0.08725,15.516166666666669,0.052333333333333336,12,12,0.21661944444444536
1982,8.639166666666666,0.08266666666666667,15.341916666666668,0.05475,12,12,0.04236944444444468
1983,9.028166666666666,0.09399999999999999,15.520249999999999,0.05583333333333334,12,12,0.2207027777777757
1984,8.691833333333333,0.10258333333333332,15.344166666666666,0.05716666666666667,12,12,0.04461944444444299
1985,8.658,0.09325,15.340666666666666,0.05391666666666667,12,12,0.041119444444442266
1986,8.833583333333333,0.085,15.384,0.05325,12,12,0.08445277777777704
1987,8.994416666666666,0.08516666666666667,15.524500000000002,0.05333333333333334,12,12,0.22495277777777822
1988,9.201583333333334,0.08008333333333333,15.555750000000002,0.05325,12,12,0.2562027777777782
1989,8.921999999999999,0.08800000000000001,15.441583333333334,0.05591666666666667,12,12,0.14203611111111059
1990,9.234166666666667,0.08633333333333333,15.629333333333333,0.05725,12,12,0.32978611111111
1991,9.179416666666667,0.06208333333333333,15.597999999999999,0.05508333333333334,12,12,0.2984527777777757
1992,8.836583333333333,0.08333333333333333,15.453000000000001,0.058166666666666665,12,12,0.15345277777777788
1993,8.866583333333333,0.08133333333333333,15.466416666666667,0.059166666666666666,12,12,0.16686944444444407
1994,9.03875,0.07091666666666667,15.534999999999998,0.05858333333333333,12,12,0.23545277777777507
1995,9.347083333333334,0.07641666666666666,15.637833333333333,0.06041666666666667,12,12,0.33828611111110973
1996,9.038916666666667,0.08474999999999999,15.524666666666667,0.0595,12,12,0.22511944444444332
1997,9.202583333333333,0.08858333333333333,15.713833333333334,0.059166666666666666,12,12,0.41428611111111024
1998,9.522666666666668,0.07391666666666666,15.826,0.063,12,12,0.5264527777777772
1999,9.285083333333334,0.07925,15.600333333333333,0.06333333333333334,12,12,0.3007861111111101
2000,9.201166666666667,0.0835,15.610666666666667,0.0635,12,12,0.3111194444444436
2001,9.414583333333333,0.08741666666666666,15.7675,0.06458333333333334,12,12,0.4679527777777768
2002,9.570416666666667,0.07241666666666667,15.829166666666667,0.06291666666666666,12,12,0.5296194444444442
2003,9.525583333333334,0.09066666666666667,15.826583333333334,0.06433333333333334,12,12,0.5270361111111104
2004,9.324583333333333,0.08341666666666668,15.757249999999999,0.06125,12,12,0.4577027777777758
2005,9.700916666666666,0.07516666666666667,15.879249999999999,0.06083333333333333,12,12,0.5797027777777757
2006,9.5325,0.09000000000000001,15.8135,0.061,12,12,0.5139527777777761
2007,9.732166666666666,0.08950000000000001,15.827333333333334,0.05908333333333333,12,12,0.5277861111111104
2008,9.43175,0.07891666666666666,15.72125,0.05725,12,12,0.4217027777777762
2009,9.50525,0.08591666666666666,15.827166666666665,0.058916666666666666,12,12,0.5276194444444418
2010,9.703083333333334,0.08341666666666665,15.895499999999998,0.05858333333333333,12,12,0.5959527777777751
2011,9.516,0.08199999999999998,15.7695,0.059,12,12,0.46995277777777744
2012,9.507333333333333,0.08341666666666668,15.802333333333335,0.0615,12,12,0.5027861111111118
2013,9.6065,0.09766666666666667,15.854416666666667,0.06466666666666666,12,12,0.554869444444444
2014,9.570666666666666,0.09016666666666667,15.912999999999998,0.06316666666666666,12,12,0.6134527777777752
2015,9.831,0.09216666666666666,16.058583333333335,0.06083333333333333,12,12,0.7590361111111115
